t,gt_x,gt_y,gt_z,gt_yaw,est_x,est_y,est_yaw
817.8000,5.9421,-1.0233,1.3703,0.09718,5.7749,-1.6339,-0.05818
817.9000,5.9408,-1.0230,1.3713,0.09718,5.7761,-1.6331,-0.05820
818.0000,5.9394,-1.0226,1.3728,0.09720,5.7777,-1.6322,-0.05823
818.1000,5.9380,-1.0222,1.3746,0.09721,5.7799,-1.6314,-0.05821
818.2000,5.9364,-1.0219,1.3768,0.09725,5.7818,-1.6302,-0.05819
818.3000,5.9348,-1.0216,1.3791,0.09728,5.7830,-1.6288,-0.05818
818.5560,5.9314,-1.0212,1.3840,0.09731,5.7833,-1.6279,-0.05817
818.6520,5.9311,-1.0212,1.3845,0.09731,5.7833,-1.6279,-0.05817
818.7000,5.9270,-1.0211,1.3898,0.09727,5.7821,-1.6260,-0.05814
818.8000,5.9248,-1.0211,1.3923,0.09725,5.7783,-1.6248,-0.05817
818.9000,5.9225,-1.0213,1.3942,0.09723,5.7756,-1.6248,-0.05817
819.0000,5.9203,-1.0215,1.3938,0.09721,5.7721,-1.6250,-0.05816
819.1000,5.9179,-1.0218,1.3905,0.09718,5.7688,-1.6251,-0.05817
819.2000,5.9155,-1.0221,1.3850,0.09717,5.7654,-1.6250,-0.05818
819.3000,5.9127,-1.0225,1.3763,0.09716,5.7630,-1.6252,-0.05821
819.4000,5.9101,-1.0229,1.3668,0.09715,5.7604,-1.6251,-0.05823
819.5000,5.9076,-1.0233,1.3565,0.09715,5.7587,-1.6246,-0.05824
819.6000,5.9051,-1.0237,1.3450,0.09715,5.7571,-1.6243,-0.05826
819.7000,5.9032,-1.0241,1.3359,0.09715,5.7552,-1.6242,-0.05826
819.8000,5.9013,-1.0246,1.3261,0.09714,5.7531,-1.6237,-0.05828
819.9000,5.8993,-1.0252,1.3164,0.09713,5.7509,-1.6225,-0.05828
820.0000,5.8977,-1.0257,1.3085,0.09713,5.7492,-1.6209,-0.05830
820.1000,5.8961,-1.0264,1.3014,0.09712,5.7474,-1.6191,-0.05833
820.2000,5.8949,-1.0270,1.2958,0.09710,5.7455,-1.6179,-0.05836
820.3000,5.8937,-1.0277,1.2910,0.09709,5.7429,-1.6167,-0.05839
820.4000,5.8925,-1.0287,1.2866,0.09707,5.7405,-1.6161,-0.05841
820.5000,5.8914,-1.0298,1.2830,0.09703,5.7367,-1.6153,-0.05846
820.6000,5.8906,-1.0307,1.2806,0.09699,5.7317,-1.6146,-0.05852
820.7000,5.8898,-1.0317,1.2787,0.09695,5.7271,-1.6143,-0.05859
820.8000,5.8889,-1.0329,1.2772,0.09694,5.7233,-1.6147,-0.05859
820.9000,5.8883,-1.0340,1.2763,0.09696,5.7207,-1.6158,-0.05860
821.0000,5.8880,-1.0352,1.2758,0.09696,5.7195,-1.6173,-0.05861
821.1000,5.8879,-1.0362,1.2758,0.09696,5.7187,-1.6192,-0.05865
821.2000,5.8881,-1.0375,1.2761,0.09696,5.7180,-1.6212,-0.05867
821.3000,5.8883,-1.0389,1.2768,0.09695,5.7167,-1.6231,-0.05868
821.4000,5.8886,-1.0399,1.2774,0.09695,5.7149,-1.6250,-0.05868
821.5000,5.8888,-1.0410,1.2784,0.09696,5.7125,-1.6275,-0.05868
821.6000,5.8890,-1.0419,1.2794,0.09696,5.7105,-1.6300,-0.05869
821.7000,5.8894,-1.0427,1.2805,0.09696,5.7086,-1.6328,-0.05866
821.8000,5.8899,-1.0435,1.2819,0.09696,5.7075,-1.6349,-0.05868
821.9000,5.8905,-1.0441,1.2834,0.09696,5.7064,-1.6361,-0.05867
822.0000,5.8911,-1.0445,1.2849,0.09696,5.7057,-1.6363,-0.05865
822.1000,5.8920,-1.0450,1.2869,0.09696,5.7054,-1.6357,-0.05860
822.2000,5.8931,-1.0453,1.2888,0.09694,5.7054,-1.6347,-0.05860
822.3000,5.8942,-1.0455,1.2906,0.09692,5.7056,-1.6336,-0.05863
822.4040,5.8953,-1.0458,1.2924,0.09688,5.7061,-1.6334,-0.05865
822.5000,5.8965,-1.0460,1.2940,0.09684,5.7068,-1.6336,-0.05871
822.6000,5.8977,-1.0463,1.2956,0.09680,5.7077,-1.6341,-0.05880
822.7000,5.8992,-1.0465,1.2976,0.09679,5.7095,-1.6347,-0.05883
822.8000,5.9007,-1.0468,1.2997,0.09678,5.7125,-1.6351,-0.05887
822.9000,5.9019,-1.0469,1.3015,0.09676,5.7159,-1.6354,-0.05891
823.0000,5.9034,-1.0471,1.3038,0.09676,5.7197,-1.6361,-0.05894
823.1000,5.9051,-1.0474,1.3067,0.09676,5.7229,-1.6370,-0.05897
823.2000,5.9065,-1.0476,1.3097,0.09674,5.7264,-1.6381,-0.05898
823.3000,5.9075,-1.0479,1.3124,0.09673,5.7297,-1.6393,-0.05901
823.4000,5.9085,-1.0482,1.3157,0.09672,5.7333,-1.6416,-0.05901
823.5000,5.9093,-1.0485,1.3186,0.09671,5.7371,-1.6450,-0.05905
823.6000,5.9099,-1.0488,1.3218,0.09670,5.7402,-1.6489,-0.05910
823.7000,5.9104,-1.0491,1.3251,0.09670,5.7425,-1.6522,-0.05913
823.8000,5.9107,-1.0494,1.3291,0.09671,5.7448,-1.6555,-0.05912
823.9000,5.9108,-1.0495,1.3325,0.09672,5.7463,-1.6578,-0.05910
824.0000,5.9107,-1.0495,1.3369,0.09674,5.7474,-1.6594,-0.05908
824.1000,5.9103,-1.0494,1.3409,0.09676,5.7472,-1.6603,-0.05899
824.2000,5.9096,-1.0491,1.3455,0.09678,5.7466,-1.6609,-0.05894
824.3000,5.9089,-1.0487,1.3499,0.09679,5.7453,-1.6614,-0.05883
824.4040,5.9078,-1.0482,1.3551,0.09680,5.7431,-1.6610,-0.05877
824.5000,5.9070,-1.0476,1.3594,0.09681,5.7417,-1.6595,-0.05871
824.6000,5.9060,-1.0469,1.3646,0.09682,5.7409,-1.6575,-0.05870
824.7000,5.9050,-1.0461,1.3693,0.09682,5.7404,-1.6551,-0.05870
824.8040,5.9042,-1.0454,1.3737,0.09685,5.7406,-1.6529,-0.05869
824.9000,5.9033,-1.0446,1.3782,0.09689,5.7413,-1.6502,-0.05866
825.0000,5.9026,-1.0440,1.3819,0.09691,5.7419,-1.6482,-0.05864
825.1000,5.9017,-1.0433,1.3865,0.09693,5.7420,-1.6470,-0.05860
825.2000,5.9008,-1.0426,1.3909,0.09693,5.7413,-1.6456,-0.05862
825.3000,5.8997,-1.0420,1.3950,0.09693,5.7406,-1.6445,-0.05861
825.4000,5.8987,-1.0416,1.3988,0.09692,5.7401,-1.6434,-0.05862
825.5000,5.8976,-1.0411,1.4029,0.09689,5.7400,-1.6419,-0.05863
825.6000,5.8965,-1.0406,1.4063,0.09687,5.7401,-1.6407,-0.05865
825.7000,5.8954,-1.0402,1.4097,0.09685,5.7402,-1.6399,-0.05866
825.8000,5.8944,-1.0398,1.4129,0.09683,5.7399,-1.6395,-0.05872
825.9000,5.8934,-1.0396,1.4162,0.09679,5.7395,-1.6389,-0.05876
826.0040,5.8923,-1.0393,1.4195,0.09676,5.7391,-1.6384,-0.05876
826.1000,5.8911,-1.0392,1.4226,0.09673,5.7380,-1.6383,-0.05881
826.2000,5.8899,-1.0392,1.4257,0.09669,5.7366,-1.6383,-0.05883
826.3000,5.8885,-1.0392,1.4288,0.09666,5.7357,-1.6388,-0.05887
826.4000,5.8872,-1.0391,1.4318,0.09664,5.7351,-1.6394,-0.05888
826.5000,5.8858,-1.0391,1.4348,0.09663,5.7340,-1.6399,-0.05894
826.6000,5.8846,-1.0390,1.4374,0.09664,5.7328,-1.6399,-0.05893
826.7000,5.8833,-1.0390,1.4401,0.09666,5.7310,-1.6389,-0.05888
826.8000,5.8821,-1.0389,1.4425,0.09668,5.7286,-1.6375,-0.05885
826.9000,5.8808,-1.0388,1.4451,0.09671,5.7255,-1.6360,-0.05881
827.0000,5.8796,-1.0388,1.4473,0.09672,5.7215,-1.6348,-0.05876
827.1000,5.8785,-1.0387,1.4493,0.09672,5.7174,-1.6342,-0.05874
827.2000,5.8775,-1.0388,1.4512,0.09671,5.7141,-1.6346,-0.05877
827.3000,5.8766,-1.0389,1.4529,0.09669,5.7114,-1.6357,-0.05878
827.4000,5.8759,-1.0390,1.4547,0.09668,5.7090,-1.6369,-0.05885
827.5000,5.8754,-1.0390,1.4562,0.09668,5.7060,-1.6384,-0.05887
827.6000,5.8751,-1.0390,1.4576,0.09668,5.7034,-1.6396,-0.05890
827.7000,5.8749,-1.0389,1.4590,0.09669,5.7015,-1.6405,-0.05887
827.8000,5.8749,-1.0387,1.4603,0.09670,5.7008,-1.6413,-0.05887
827.9000,5.8750,-1.0384,1.4620,0.09671,5.7010,-1.6419,-0.05889
828.0040,5.8753,-1.0379,1.4636,0.09671,5.7015,-1.6419,-0.05891
828.1000,5.8757,-1.0374,1.4651,0.09672,5.7020,-1.6409,-0.05889
828.2000,5.8761,-1.0368,1.4667,0.09673,5.7028,-1.6393,-0.05890
828.3000,5.8766,-1.0362,1.4681,0.09674,5.7035,-1.6379,-0.05886
828.4000,5.8770,-1.0356,1.4696,0.09673,5.7033,-1.6363,-0.05887
828.5000,5.8774,-1.0351,1.4710,0.09671,5.7026,-1.6347,-0.05888
828.6000,5.8777,-1.0345,1.4726,0.09670,5.7020,-1.6329,-0.05888
828.7000,5.8781,-1.0339,1.4742,0.09671,5.7018,-1.6313,-0.05885
828.8000,5.8786,-1.0334,1.4756,0.09671,5.7020,-1.6299,-0.05885
828.9000,5.8790,-1.0330,1.4769,0.09671,5.7023,-1.6284,-0.05884
829.0000,5.8794,-1.0326,1.4782,0.09671,5.7026,-1.6267,-0.05885
829.1000,5.8799,-1.0323,1.4795,0.09672,5.7026,-1.6247,-0.05883
829.2000,5.8803,-1.0320,1.4807,0.09673,5.7025,-1.6231,-0.05884
829.3000,5.8808,-1.0318,1.4818,0.09674,5.7026,-1.6212,-0.05882
829.4000,5.8813,-1.0317,1.4826,0.09674,5.7024,-1.6196,-0.05883
829.5000,5.8818,-1.0318,1.4833,0.09673,5.7017,-1.6188,-0.05883
829.6000,5.8824,-1.0321,1.4839,0.09670,5.7011,-1.6188,-0.05885
829.7000,5.8830,-1.0325,1.4845,0.09665,5.7008,-1.6195,-0.05886
829.8000,5.8836,-1.0331,1.4851,0.09659,5.7004,-1.6205,-0.05894
829.9000,5.8842,-1.0337,1.4859,0.09654,5.7000,-1.6211,-0.05901
830.0000,5.8849,-1.0345,1.4868,0.09652,5.6999,-1.6220,-0.05906
830.1000,5.8857,-1.0352,1.4878,0.09650,5.7004,-1.6229,-0.05911
830.2000,5.8865,-1.0360,1.4888,0.09649,5.7013,-1.6240,-0.05917
830.3000,5.8873,-1.0367,1.4898,0.09650,5.7030,-1.6252,-0.05918
830.4000,5.8882,-1.0374,1.4908,0.09653,5.7056,-1.6265,-0.05916
830.5000,5.8890,-1.0381,1.4919,0.09654,5.7080,-1.6279,-0.05915
830.6000,5.8897,-1.0388,1.4930,0.09653,5.7103,-1.6300,-0.05918
830.7000,5.8903,-1.0396,1.4943,0.09651,5.7130,-1.6325,-0.05922
830.8000,5.8908,-1.0403,1.4955,0.09649,5.7168,-1.6353,-0.05924
830.9000,5.8912,-1.0409,1.4968,0.09647,5.7216,-1.6380,-0.05928
831.0000,5.8915,-1.0415,1.4980,0.09644,5.7264,-1.6399,-0.05932
831.1000,5.8914,-1.0421,1.4992,0.09642,5.7304,-1.6415,-0.05937
831.2000,5.8909,-1.0425,1.5000,0.09642,5.7331,-1.6426,-0.05936
831.3000,5.8901,-1.0428,1.5004,0.09642,5.7350,-1.6433,-0.05932
831.4000,5.8890,-1.0431,1.5003,0.09641,5.7358,-1.6440,-0.05931
831.5000,5.8876,-1.0433,1.4999,0.09641,5.7357,-1.6451,-0.05927
831.6000,5.8858,-1.0436,1.4991,0.09638,5.7347,-1.6465,-0.05924
831.7000,5.8842,-1.0438,1.4983,0.09636,5.7328,-1.6480,-0.05922
831.8000,5.8819,-1.0440,1.4969,0.09635,5.7301,-1.6500,-0.05919
831.9000,5.8798,-1.0441,1.4955,0.09634,5.7276,-1.6524,-0.05913
832.0000,5.8774,-1.0442,1.4939,0.09634,5.7253,-1.6543,-0.05913
832.1000,5.8746,-1.0441,1.4918,0.09635,5.7223,-1.6558,-0.05907
832.2000,5.8724,-1.0440,1.4902,0.09635,5.7180,-1.6567,-0.05903
832.3000,5.8699,-1.0438,1.4883,0.09635,5.7133,-1.6570,-0.05897
832.4000,5.8673,-1.0435,1.4865,0.09636,5.7088,-1.6564,-0.05892
832.5000,5.8647,-1.0430,1.4845,0.09637,5.7041,-1.6550,-0.05889
832.6000,5.8623,-1.0425,1.4828,0.09636,5.6991,-1.6530,-0.05885
832.7000,5.8601,-1.0419,1.4812,0.09636,5.6947,-1.6510,-0.05885
832.8000,5.8581,-1.0414,1.4798,0.09637,5.6912,-1.6495,-0.05884
832.9000,5.8563,-1.0409,1.4787,0.09636,5.6878,-1.6479,-0.05885
833.0000,5.8548,-1.0404,1.4776,0.09634,5.6853,-1.6462,-0.05887
833.1000,5.8533,-1.0400,1.4767,0.09633,5.6833,-1.6442,-0.05889
833.2000,5.8521,-1.0397,1.4760,0.09632,5.6817,-1.6419,-0.05892
833.3000,5.8510,-1.0394,1.4755,0.09631,5.6803,-1.6399,-0.05895
833.4000,5.8499,-1.0392,1.4751,0.09628,5.6786,-1.6385,-0.05895
833.5000,5.8490,-1.0391,1.4749,0.09625,5.6768,-1.6373,-0.05900
833.6000,5.8481,-1.0392,1.4748,0.09619,5.6747,-1.6365,-0.05906
833.7000,5.8475,-1.0394,1.4747,0.09615,5.6722,-1.6361,-0.05910
833.8000,5.8469,-1.0396,1.4745,0.09612,5.6697,-1.6360,-0.05912
833.9000,5.8463,-1.0399,1.4743,0.09609,5.6666,-1.6363,-0.05917
834.0000,5.8457,-1.0403,1.4739,0.09606,5.6641,-1.6367,-0.05922
834.1000,5.8454,-1.0406,1.4736,0.09604,5.6620,-1.6374,-0.05926
834.2000,5.8452,-1.0411,1.4732,0.09602,5.6611,-1.6381,-0.05931
834.3000,5.8452,-1.0417,1.4727,0.09599,5.6613,-1.6391,-0.05933
834.4000,5.8453,-1.0422,1.4724,0.09598,5.6626,-1.6407,-0.05938
834.5000,5.8457,-1.0427,1.4722,0.09598,5.6647,-1.6423,-0.05942
834.6000,5.8461,-1.0432,1.4722,0.09596,5.6667,-1.6443,-0.05949
834.7000,5.8465,-1.0437,1.4724,0.09594,5.6677,-1.6463,-0.05957
